date,env_enc_0,env_enc_1,env_enc_2,env_enc_3
1928-08-06,2.4067988,-6.3613997,3.9619598,-0.26080558
1928-08-07,2.7590027,-5.2756267,2.7678804,-1.344166
1928-08-08,4.1351385,-7.6515903,4.1618557,-2.014123
1928-08-09,2.1767902,-4.7050967,2.5793576,-0.8013207
1928-08-10,2.5151129,-4.9251432,2.5838704,-1.185895
1928-08-11,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-08-12,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-08-13,2.1932385,-4.6834917,2.5502853,-0.8381307
1928-08-14,3.351624,-6.253477,3.3310854,-1.6528885
1928-08-15,2.946082,-8.455458,5.593354,0.051331617
1928-08-16,2.1915946,-5.306712,3.119936,-0.4965147
1928-08-17,2.2149265,-4.670594,2.5266004,-0.8779173
1928-08-18,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-08-19,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-08-20,2.1755567,-5.1940413,3.0267909,-0.53136504
1928-08-21,2.5007844,-6.746208,4.2635,-0.19577791
1928-08-22,2.370417,-4.753123,2.5128524,-1.063849
1928-08-23,2.2403502,-4.6689906,2.5108328,-0.9167156
1928-08-24,2.7798312,-7.8351784,5.111391,-0.033469953
1928-08-25,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-08-26,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-08-27,2.1973028,-4.679988,2.54492,-0.8461739
1928-08-28,2.2143726,-5.4483037,3.2348466,-0.45657206
1928-08-29,2.1980062,-4.679427,2.5440235,-0.847558
1928-08-30,2.218098,-4.6697216,2.5240195,-0.88314867
1928-08-31,2.498455,-6.7368555,4.256215,-0.1972737
1928-09-01,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-09-02,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-09-03,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-09-04,2.152021,-4.901002,2.7741914,-0.65159386
1928-09-05,2.1519876,-4.8981085,2.7715523,-0.65311795
1928-09-06,2.9924207,-5.6462507,2.9771924,-1.4747211
1928-09-07,2.190734,-5.3011246,3.1153738,-0.4981411
1928-09-08,2.2989497,-4.6932807,2.4999404,-0.9896153
